rank,position,player,team,Experience,votes,OPOY,DPOY,share,games,starts,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,def_tackles,def_sacks,def_int,def_td,total_td
,LOLB,Chandler Jones,Arizona Cardinals,7,0,No,No,0,16,16,0,0,0,0,0,0,0,0,0,0,0,47.5,19,0,0,0
,LOLB,T.J. Watt,Pittsburgh Steelers,2,0,No,No,0,16,16,0,0,0,0,0,0,0,0,0,0,0,45,14.5,2,0,0
,ROLB,Shaquil Barrett,Tampa Bay Buccaneers,4,0,No,No,0,16,16,0,0,0,0,0,0,0,0,0,0,0,51.5,19.5,1,0,0
,DE,Aaron Donald,Los Angeles Rams,5,0,No,No,0,16,16,0,0,0,0,0,0,0,0,0,0,0,38.5,12.5,0,0,0
,DE,Danielle Hunter,Minnesota Vikings,4,0,No,No,0,16,16,0,0,0,0,0,0,0,0,0,0,0,61,14.5,0,0,0
,CB,Tre'Davious White,Buffalo Bills,2,0,No,No,0,15,15,0,0,0,0,0,0,0,0,0,0,0,53,1,6,0,0
1,QB,Aaron Rodgers,Green Bay Packers,15,44,No,No,0.88,16,16,372,526,4299,48,5,38,149,3,1,-6,0,0,0,0,0,51
2,QB,Josh Allen,Buffalo Bills,2,4,No,No,0.08,16,16,396,572,4544,37,10,102,421,8,1,12,1,0,0,0,0,46
3,QB,Patrick Mahomes,Kansas City Chiefs,3,2,No,No,0.04,15,15,390,588,4740,38,6,62,308,2,0,0,0,0,0,0,0,40
,RB,Derrick Henry,Tennessee Titans,4,0,Yes,No,0,16,16,0,0,0,0,0,378,2027,17,19,114,0,0,0,0,0,17
,TE,Travis Kelce,Kansas City Chiefs,7,0,No,No,0,15,15,1,2,4,0,0,0,0,0,105,1416,11,0,0,0,0,11
,RB,Alvin Kamara,New Orleans Saints,3,0,No,No,0,15,10,0,0,0,0,0,187,932,16,83,756,5,0,0,0,0,21
,DT,Aaron Donald,Los Angeles Rams,6,0,No,Yes,0,16,16,0,0,0,0,0,0,0,0,0,0,0,36,13.5,0,0,0
,LOLB,T.J. Watt,Pittsburgh Steelers,3,0,No,No,0,15,15,0,0,0,0,0,0,0,0,0,0,0,48,15,1,0,0
,RCB,Xavien Howard,Miami Dolphins,4,0,No,No,0,16,16,0,0,0,0,0,0,0,0,0,0,0,45.5,0,10,0,0
